Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
Ernesto Horacio Boardman Lpez,M,23,175,92,Mexico,Archery,0
Erwin Jos Caraballo Cabrera,M,35,185,130,Venezuela,Wrestling,0
Ese Brume,F,20,167,58,Nigeria,Athletics,0
Eseosa Fostine Desalu,M,22,180,67,Italy,Athletics,0
Eslam Eissa,M,28,190,90,Egypt,Handball,0
Esma Aydemir,F,24,160,48,Turkey,Athletics,0
Esraa Ahmed El-Sayed,F,17,150,63,Egypt,Weightlifting,0
Esteban Jos Enderica Salgado,M,25,177,71,Ecuador,Swimming,0
Estefana lvarez Piedrahita,F,21,162,60,Colombia,Synchronized Swimming,0
Esther Barrugus Alvina,F,36,164,60,Andorra,Shooting,0
Etenesh Diro Neda,F,25,168,49,Ethiopia,Athletics,0
Eugenie Bouchard,F,22,178,58,Canada,Tennis,0
Eunice Chibanda,F,23,163,61,Zimbabwe,Football,0
Eva Calvo Gmez,F,25,176,57,Spain,Taekwondo,1
Eva Roma Maria de Goede,F,27,170,61,Netherlands,Hockey,1
Evan Dunfee,M,25,182,70,Canada,Athletics,0
Evandro Gonalves Oliveira Jnior,M,26,210,105,Brazil-2,Beach Volleyball,0
"Evangelos Ioannis ""Vangelis"" Delakas",M,31,189,90,Greece,Water Polo,0
Evelina Afoa,F,17,162,60,Samoa,Swimming,0
Evelis Jazmin Aguilar Torres,F,23,173,64,Colombia,Athletics,0
Eyawomano Doreen Amata,F,28,191,63,Nigeria,Athletics,0
Fabian Cancellara,M,35,186,81,Switzerland,Cycling,1
Fabian Drzyzga,M,26,196,90,Poland,Volleyball,0
"Fabiana ""Dara"" Carvalho Carneiro Diniz",F,35,183,71,Brazil,Handball,0
Fabio Aru,M,26,183,65,Italy,Cycling,0
Fabio Basile,M,21,160,66,Italy,Judo,1
Fabrizio Donato,M,39,189,83,Italy,Athletics,0
Facundo Callioni,M,30,183,77,Argentina,Hockey,1
Facundo Campazzo,M,25,181,85,Argentina,Basketball,0
Facundo Conte,M,26,197,88,Argentina,Volleyball,0
Fanny Deberghes,F,22,170,65,France,Swimming,0
Farah Boufadene,F,17,155,55,Algeria,Gymnastics,0
Farid Chaal,M,22,196,80,Algeria,Football,0
Farzan Ashour Zadeh Fllah,M,19,185,58,Iran,Taekwondo,0
Fatema Abdul Muhsin Al-Mahmeed,F,17,167,60,Bahrain,Swimming,0
Fatim Alkrmova,F,14,175,60,Azerbaijan,Swimming,0
Fatma Nagib El-Sharnouby,F,18,,,Egypt,Athletics,0
Fatou Dieng,F,32,167,60,Senegal,Basketball,0
Fawziya Abdoulkarim,F,27,180,67,Cameroon,Volleyball,0
Fbio Rocha Chiuffa,M,27,185,85,Brazil,Handball,0
Federico Bocchia,M,29,197,93,Italy,Swimming,0
Federico Bruno,M,23,185,66,Argentina,Athletics,0
Federico Delbonis,M,25,190,88,Argentina-2,Tennis,0
Federico Delbonis,M,25,190,88,Argentina,Tennis,0
Fedrick Dacres,M,22,191,104,Jamaica,Athletics,0
Fehaid Al-Deehani,M,49,178,95,Individual Olympic Athletes,Shooting,1
Felice Chow,F,39,175,70,Trinidad and Tobago,Rowing,0
Felipe Aguilar Mendoza,M,23,191,72,Colombia,Football,0
Felipe Aguilar Schler,M,41,170,72,Chile,Golf,0
Felipe Borges da Silva,M,21,185,72,Brazil,Canoeing,0
Felipe Claro Santa'Ana Silva,M,30,172,83,Brazil,Rugby Sevens,0
Felipe Crdenas Morales,M,25,183,75,Chile,Rowing,0
Felipe Santos da Costa e Silva,M,31,196,103,Brazil,Water Polo,0
Felix Aubck,M,19,198,85,Austria,Swimming,0
Felix Denayer,M,26,190,85,Belgium,Hockey,1
Felix Drahotta,M,27,200,102,Germany,Rowing,1
Feng Chen,M,22,170,65,Singapore,Table Tennis,0
Ferhat Arcan,M,23,178,68,Turkey,Gymnastics,0
Fernanda Demtrio Decnop Coelho,F,29,172,67,Brazil,Sailing,0
Fernanda Frana da Silva,F,26,176,68,Brazil,Handball,0
Fernando Alarza Vicente,M,25,178,67,Spain,Triathlon,0
Fernando Borello,M,36,188,92,Argentina,Shooting,0
Fernando Carro Morillo,M,24,170,60,Spain,Athletics,0
Fernando Echavarri Erasum,M,43,180,76,Spain,Sailing,0
Fie Udby Erichsen,F,31,184,79,Denmark,Rowing,0
Filip Dvok,M,28,189,89,Czech Republic,Canoeing,0
Filipe Baravilala,M,21,170,74,Fiji,Football,0
Fiona Albert,F,25,174,70,Australia,Rowing,0
Fiona Clare Bigwood,F,40,173,75,Great Britain,Equestrianism,1
Fiona Doyle,F,24,175,65,Ireland,Swimming,0
Fionnuala Britton-McCormack,F,31,159,46,Ireland,Athletics,0
Fiorella Francesca Cueva Uribe,F,18,150,48,Peru,Weightlifting,0
Fitzroy Junior Dunkley,M,23,195,79,Jamaica,Athletics,1
Flora Jane Duffy,F,28,163,57,Bermuda,Triathlon,0
Florence Allan,F,18,168,57,Cayman Islands,Sailing,0
Florencia Natasha Busquets Reyes,F,27,192,68,Argentina,Volleyball,0
Florent Caelen,M,27,175,54,Belgium,Athletics,0
Florian Carvalho,M,27,183,70,France,Athletics,0
Florina Maria Brsan-Chintoan,F,30,178,67,Romania,Handball,0
Flvia Maria de Lima,F,23,176,65,Brazil,Athletics,0
Foluke Antinuke Akinradewo,F,28,191,79,United States,Volleyball,1
Fouad El-Kaam,M,28,188,70,Morocco,Athletics,0
Francelina Cabral,F,31,165,,Timor Leste,Cycling,0
Francesca Clapcich,F,28,177,68,Italy,Sailing,0
Francesca Dallap,F,30,163,57,Italy,Diving,1
Francesca Deidda,F,24,164,49,Italy,Synchronized Swimming,0
Francesco Di Fulvio,M,22,190,88,Italy,Water Polo,1
Francisca Crovetto Chadid,F,26,160,54,Chile,Shooting,0
"Francisco ""Quico"" Corts Juncosa",M,33,181,80,Spain,Hockey,0
Francisco Arcilla Aller,M,32,171,58,Spain,Athletics,0
Francisco Boza Dibos,M,51,176,95,Peru,Shooting,0
Francisco Carlos Barretto Jnior,M,26,175,72,Brazil,Gymnastics,0
Francisco Ducasse Rojas,M,19,175,68,Chile,Sailing,0
Franck Dannique Elemba Owaka,M,26,198,130,Congo (Brazzaville),Athletics,0
Franco Peru Donato,M,34,165,64,Egypt,Shooting,0
Frank Chamizo Marquez,M,24,172,65,Italy,Wrestling,1
Frank de Wit,M,20,184,81,Netherlands,Judo,0
Frantz Mike Itelord Dorsainvil,M,25,170,59,Haiti,Swimming,0
Franz Anton,M,26,173,70,Germany,Canoeing,0
"Frdric Thierry Roger ""Frd"" Bousquet",M,35,188,86,France,Swimming,0
Frederik Lindbg Brsting,M,21,184,78,Denmark,Football,0
Fredrik Bergstrm,M,26,176,64,Sweden,Sailing,0
"Frentorish ""Tori"" Bowie",F,25,175,58,United States,Athletics,3
Frida Andersn,F,26,164,67,Sweden,Equestrianism,0
Gabriel Alejandro Deck,M,21,197,107,Argentina,Basketball,0
Gabriel Borges,M,24,180,73,Brazil,Sailing,0
"Gabriela ""Gaby"" Dabrowski",F,24,175,84,Canada,Tennis,0
Gabriela Aguirre,F,30,164,58,Argentina,Hockey,0
Gabriela Mantellato Dias,F,24,175,76,Brazil,Water Polo,0
