Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
Lalita Shivaji Babar,F,27,166,50,India,Athletics,0
Landre Bouchard,M,23,193,81,Canada,Cycling,0
Lanece Clarke,F,28,170,52,Bahamas,Athletics,0
Lani Belcher,F,27,169,65,Great Britain,Canoeing,0
Lani Rose Cabrera,F,23,175,66,Barbados,Swimming,0
Lara Butler,F,21,172,60,Cayman Islands,Swimming,0
Larbi Bourrada,M,28,188,88,Algeria,Athletics,0
Larisa Ceri,F,25,176,110,Bosnia and Herzegovina,Judo,0
Larissa Rose Crummer,F,20,178,70,Australia,Football,0
Lars Bender,M,27,184,80,Germany,Football,1
Latario Collie-Minns,M,22,173,64,Bahamas,Athletics,0
Laura Asadauskait-Zadneprovskien,F,32,160,49,Lithuania,Modern Pentathlon,0
Laura Brown,F,29,167,61,Canada,Cycling,1
Laura Chantal Dijkema,F,26,184,70,Netherlands,Volleyball,0
Laura Chiper,F,26,173,65,Romania,Handball,0
Laura Colleen Gloria Alleway,F,26,178,72,Australia,Football,0
Laura Ester Ramos,F,26,170,58,Spain,Water Polo,0
Laura Marie Aug,F,24,175,60,France,Synchronized Swimming,0
Laura de Witte,F,20,173,61,Netherlands,Athletics,0
Lauren Billys,F,28,161,59,Puerto Rico,Equestrianism,0
Lauren Boden-Wells,F,28,178,66,Australia,Athletics,0
Lauren Crandall,F,31,161,58,United States,Hockey,0
Lauren Doyle,F,25,168,68,United States,Rugby Sevens,0
Lauren Ellis,F,27,166,64,New Zealand,Cycling,0
Lauren Marie Boyle,F,28,183,67,New Zealand,Swimming,0
Laurence Baldauff,F,41,164,57,Austria,Archery,0
Laurence Brize,F,40,158,55,France,Shooting,0
Laurens De Plus,M,20,188,67,Belgium,Cycling,0
Laurent Carnol,M,26,187,82,Luxembourg,Swimming,0
"Laurent Clayton, Jr.",M,26,196,127,United States Virgin Islands,Boxing,0
Laurent Johann Jos Bourda Couhet,M,22,171,75,Brazil,Rugby Sevens,0
Laurie Berthon,F,24,169,69,France,Cycling,0
Lawrence Brittain,M,25,187,94,South Africa,Rowing,1
Lea Davison,F,33,168,55,United States,Cycling,0
Leandro Mateus Barbosa,M,33,194,97,Brazil,Basketball,0
Leandro Yamil Blanc,M,23,156,49,Argentina,Boxing,0
Leidys Milagros Brito,F,32,169,52,Venezuela,Archery,0
Leila Abdelmoez,F,19,160,46,Egypt,Synchronized Swimming,0
Lely Berlitt Burgos Ortz,F,31,153,50,Puerto Rico,Weightlifting,0
Lemi Berhanu Hayle,M,21,168,53,Ethiopia,Athletics,0
Lenka Antoov,F,24,177,70,Czech Republic,Rowing,0
Leonardo Chacn Corrales,M,32,179,65,Costa Rica,Triathlon,0
Leonardo Gomes de Deus,M,25,175,70,Brazil,Swimming,0
Leonel de los Santos Nez,M,21,170,52,Dominican Republic,Boxing,0
Leonid Vladimirovich Andreyev,M,32,198,93,Uzbekistan,Athletics,0
Leonie Adam,F,23,162,54,Germany,Trampolining,0
Leonie Antonia Beck,F,19,184,62,Germany,Swimming,0
Leslie Arthur Copeland,M,28,183,102,Fiji,Athletics,0
Leticia Boscacci,F,30,186,70,Argentina,Volleyball,0
Leticia Cherpe de Souza,F,20,165,49,Brazil,Athletics,0
Levan Berianidze,M,25,186,125,Armenia,Wrestling,0
Levi Asher Cadogan,M,20,181,78,Barbados,Athletics,0
Levon Aghasyan,M,21,193,75,Armenia,Athletics,0
"Li Mei ""Camille Lily"" Cheng",F,23,178,65,Hong Kong,Swimming,0
Liam Adams,M,29,178,64,Australia,Athletics,0
Liam Bertazzo,M,24,185,70,Italy,Cycling,0
Liemarvin Bonevacia,M,27,185,74,Netherlands,Athletics,0
Lilian Castro,F,29,164,63,El Salvador,Shooting,0
Lilian de Geus,F,24,164,57,Netherlands,Sailing,0
Linda Bolder,F,28,173,70,Israel,Judo,0
Linda Camilla Algotsson,F,44,162,50,Sweden,Equestrianism,0
Linda Cerruti,F,22,173,56,Italy,Synchronized Swimming,0
Lindolfo Delgado Garza,M,21,174,60,Mexico,Boxing,0
Linet Arasa Moraa,F,20,173,61,Kenya,Rugby Sevens,0
Linn Blohm,F,24,180,79,Sweden,Handball,0
Linus Butt,M,29,186,83,Germany,Hockey,1
Lisa Brennauer,F,28,168,63,Germany,Cycling,0
Lisa Carrington,F,27,168,63,New Zealand,Canoeing,2
Lisa Darmanin,F,24,168,65,Australia,Sailing,1
Lisa Ecker,F,23,157,55,Austria,Gymnastics,0
Lisa Karolina Viktoria Dahlkvist,F,29,173,66,Sweden,Football,1
Lisa Marie De Vanna,F,31,156,53,Australia,Football,0
Lisanne de Witte,F,23,175,60,Netherlands,Athletics,0
Lissette Alexandra Antes Castillo,F,25,177,58,Ecuador,Wrestling,0
Lizbeth Julissa Diez Canseco,F,27,170,49,Peru,Taekwondo,0
Logan Dooley,M,28,175,59,United States,Trampolining,0
Logan Perry Cunningham,M,25,175,73,United States,Athletics,0
Lois Abbingh,F,23,178,72,Netherlands,Handball,0
Lolita Volodymyrivna Ananasova,F,24,169,52,Ukraine,Synchronized Swimming,0
Lonah Korlima Chemtai,F,27,165,52,Israel,Athletics,0
Loredana Dinu (Iordchioiu-),F,32,168,60,Romania,Fencing,1
Lorne Dorcas Bazolo,F,33,170,60,Portugal,Athletics,0
Lorys Bourelly,M,24,184,69,France,Swimming,0
Louis Croenen,M,22,186,79,Belgium,Swimming,0
Louisa Chafee,F,24,165,57,United States,Sailing,0
Louise Bawden,F,34,183,72,Australia-1,Beach Volleyball,0
Louise Carton,F,22,172,57,Belgium,Athletics,0
Lrke Buhl-Hansen,F,24,167,56,Denmark,Sailing,0
"Lszl Cseh, Jr.",M,30,188,83,Hungary,Swimming,1
Lszl Csoknyai,M,28,172,83,Hungary,Judo,0
Lubna Al-Omair,F,29,152,45,Saudi Arabia,Fencing,0
Luc Abalo,M,31,182,86,France,Handball,1
Luca Agamennoni,M,35,187,93,Italy,Rowing,0
Luca Braidot,M,25,179,69,Italy,Cycling,0
Luca Cupido,M,20,188,95,United States,Water Polo,0
Luca Dotto,M,26,192,80,Italy,Swimming,0
"Lucas ""Luc"" Bruchet",M,25,183,69,Canada,Athletics,0
Lucas Benedito Cndido,M,27,185,88,Brazil,Handball,0
Lucas Calabrese,M,29,168,60,Argentina,Sailing,0
Lucas Daniel,M,21,180,80,France,Archery,0
Lucas Rodriques Duque,M,32,170,84,Brazil,Rugby Sevens,0
Luciana Diniz-Knippling,F,45,175,55,Portugal,Equestrianism,0
Luciano de Cecco,M,28,191,98,Argentina,Volleyball,0
Lucien Cujean,M,26,184,82,Switzerland,Sailing,0
Lucien Delfour,M,27,177,69,Australia,Canoeing,0
Lucilla Boari,F,19,162,82,Italy,Archery,0
Lucy Davis,F,23,165,55,United States,Equestrianism,1
Ludger Beerbaum,M,52,190,85,Germany,Equestrianism,1
Ludovic Chammartin,M,31,168,60,Switzerland,Judo,0
Ludovico Edalli,M,22,165,57,Italy,Gymnastics,0
Luis Brethauer,M,23,176,82,Germany,Cycling,0
Luisa Nunes Porto Borges,F,20,166,54,Brazil,Synchronized Swimming,0
Luiz Alberto Cardoso de Arajo,M,29,188,88,Brazil,Athletics,0
Luiza Gonzalez da Costa Campos,F,26,165,64,Brazil,Rugby Sevens,0
Luiza Tavares de Almeida,F,24,168,58,Brazil,Equestrianism,0
Luka Babi,M,24,202,94,Croatia,Basketball,0
Luka Boi,M,25,173,72,Slovenia,Canoeing,0
Luka Buki,M,22,195,90,Croatia,Water Polo,1
Lukas Dauser,M,23,172,64,Germany,Gymnastics,0
Luke Arron Cutts,M,28,188,82,Great Britain,Athletics,0
Luke Bezzina,M,21,,,Malta,Athletics,0
Lus Enrique Charles,M,17,183,65,Dominican Republic,Athletics,0
Lus Henry Campos Cruz,M,20,166,61,Peru,Athletics,0
Lus Joel Castro Rivera,M,25,198,73,Puerto Rico,Athletics,0
Lus Martn Arcn Daz,M,24,179,64,Venezuela,Boxing,0
Lusapho Lesly April,M,34,172,50,South Africa,Athletics,0
Luza vila Borges Carvalho,F,33,182,79,Brazil,Water Polo,0
Lyes Bouyacoub,M,33,185,100,Algeria,Judo,0
Lyudmila Vladimirovna Dmitriyeva,F,27,180,70,Russia,Sailing,0
Lzaro Jorge lvarez Estrada,M,25,173,60,Cuba,Boxing,1
Maarten Brzoskowski,M,20,185,79,Netherlands,Swimming,0
Maayan Davidovich,F,28,167,57,Israel,Sailing,0
Mabika Yolande Bukasa,F,28,170,70,Refugee Olympic Athletes,Judo,0
Macarena Aguilar Daz,F,31,170,67,Spain,Handball,0
Machel Cedenio,M,20,183,70,Trinidad and Tobago,Athletics,0
Maciej Bodnar,M,31,186,78,Poland,Cycling,0
"Mackenzie ""Mack"" Darragh",M,22,185,79,Canada,Swimming,0
Mackenzie Brown,F,21,178,75,United States,Archery,0
Mackenzie Elizabeth Arnold,F,22,179,76,Australia,Football,0
"Madeleine ""Maddie"" Edmunds",F,24,187,81,Australia,Rowing,0
Madeleine Samantha Bodo Essissima,F,24,182,75,Cameroon,Volleyball,0
"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,Swimming,4
Madonna Blyth,F,30,165,60,Australia,Hockey,0
Mads Christiansen,M,30,197,93,Denmark,Handball,1
Magaly Bonilla Sols,F,24,152,54,Ecuador,Athletics,0
Magda Alfredo Cazanga,F,25,172,54,Angola,Handball,0
"Magdalena ""Magda"" Eriksson",F,22,172,66,Sweden,Football,1
Magdiel Estrada Cala,M,21,176,73,Cuba,Judo,0
Magorzata Biaecka,F,28,164,54,Poland,Sailing,0
Maha Abdalsalam Gouda,F,18,172,61,Egypt,Diving,0
Maha Amer,F,17,165,54,Egypt,Diving,0
Mahama Abdoufatah Cho,M,26,196,100,Great Britain,Taekwondo,0
Mahmoud Abdelaal,M,24,176,60,Egypt,Boxing,0
Maia Kristiane Agerup,F,21,172,,Norway,Sailing,0
Maialen Chourraut Yurramendi,F,33,161,55,Spain,Canoeing,1
Maimouna Diarra,F,25,198,90,Senegal,Basketball,0
Maizurah Abdul Rahim,F,17,147,50,Brunei,Athletics,0
Maksim Averin,M,30,189,75,Azerbaijan,Cycling,0
Maksym Eduardovych Dolhov,M,20,176,71,Ukraine,Diving,0
Mal Ambonguilat,M,18,170,65,Gabon,Swimming,0
Malika Al-Akkaoui,F,28,160,49,Morocco,Athletics,0
Malin Birgitta Baryard-Johnsson,F,41,172,52,Sweden,Equestrianism,0
Malin Therse Alshammar,F,38,180,64,Sweden,Swimming,0
Mamadama Bangoura,F,22,176,63,Guinea,Judo,0
Mamadou Chrif Dia,M,31,180,70,Mali,Athletics,0
Mamdouh Abdelrehim,M,26,207,90,Egypt,Volleyball,0
Mamdouh Taha Al-Husseini Abouebaid,M,28,183,85,Egypt,Handball,0
Mame Diodio Diouf,F,31,170,70,Senegal,Basketball,0
Mame-Ibra Anne,M,26,184,80,France,Athletics,0
Man Asaad,M,22,190,143,Syria,Weightlifting,0
Manami Doi,F,22,167,64,Japan,Sailing,0
Mandy Marie Brigitte Bujold,F,29,160,51,Canada,Boxing,0
Manika Batra,F,21,179,63,India,Table Tennis,0
Manol Dall'Igna,M,31,183,92,France,Rugby Sevens,0
Manon Brunet,F,20,165,55,France,Fencing,0
Manu Attri,M,23,172,73,India,Badminton,0
Manuel Benjamn Enzema Owo,M,27,170,63,Equatorial Guinea,Athletics,0
Manuel Brunet,M,30,179,79,Argentina,Hockey,1
Manuel Fabrizio Cappai,M,23,168,49,Italy,Boxing,0
Maoulida Daroueche,M,26,177,60,Comoros,Athletics,0
Mara Alexandra Escobar Guerrero,F,36,161,58,Ecuador,Weightlifting,0
Mara Amelia Belotti,F,27,180,73,Argentina,Handball,0
Mara Bernabu Avomo,F,28,170,70,Spain,Judo,0
Mara Branz,F,26,170,68,Argentina,Sailing,0
Mara Casado Gonzlez,F,30,167,63,Spain,Rugby Sevens,0
Mara Elena Calle Galarza,F,41,162,54,Ecuador,Athletics,0
Mara Gabriela Daz,F,35,160,53,Argentina,Cycling,0
Mara Jos Acosta Acosta,F,24,172,69,Venezuela,Wrestling,0
Mara Katherine Abbott,F,30,163,52,United States,Cycling,0
Mara Noel Barrionuevo,F,32,171,58,Argentina,Hockey,0
Mara Pilar Campoy,F,25,158,48,Argentina,Hockey,0
Mara del Rosario Espinoza Espinoza,F,28,173,70,Mexico,Taekwondo,1
Marcelle Cecilia Bouele Bondo,F,23,166,60,Congo (Brazzaville),Athletics,0
Marcelo Alberto Acosta Jimnez,M,20,,,El Salvador,Swimming,0
Marcelo Chierighini,M,25,190,86,Brazil,Swimming,0
Marcelo Vctor Aguirre,M,23,174,66,Paraguay,Table Tennis,0
Marcin Mariusz Brzeziski,M,32,194,98,Poland,Rowing,0
Marco Alessandro De Nicolo,M,39,180,83,Italy,Shooting,0
Marco Antonio Bueno Ontiveros,M,22,182,64,Mexico,Football,0
Marco Belotti,M,27,185,76,Italy,Swimming,0
Marco De Luca,M,35,188,70,Italy,Athletics,0
Marco Del Lungo,M,26,190,97,Italy,Water Polo,1
Marco Di Costanzo,M,24,184,87,Italy,Rowing,1
Marcos Nicols Dela,M,24,209,105,Argentina,Basketball,0
Marcus Daniell,M,26,190,76,New Zealand,Tennis,0
Marcus John Ellis,M,26,175,80,Great Britain,Badminton,1
Marcus Vincius Carvalho Lopes D'Almeida,M,18,183,90,Brazil,Archery,0
Mare Dibaba Hurssa (-Ibrahimova-),F,26,156,45,Ethiopia,Athletics,1
Mareike Adams,F,26,174,73,Germany,Rowing,0
Mareks rents,M,29,190,85,Latvia,Athletics,0
Maret Balkestein-Grothues,F,27,180,68,Netherlands,Volleyball,0
Margaret Bamgbose,F,22,171,63,Nigeria,Athletics,0
Margaux Emmanuelle Chrtien,F,23,172,61,France,Synchronized Swimming,0
Maria Andrade Teixeira,F,23,169,49,Cape Verde,Taekwondo,0
Maria Andrejczyk,F,20,174,77,Poland,Athletics,0
Maria Belimpasaki,F,25,175,64,Greece,Athletics,0
Maria Benedicta Chigbolu,F,27,172,55,Italy,Athletics,0
Maria Bernard,F,23,165,53,Canada,Athletics,0
Maria Bruno,F,23,160,54,Brazil,Synchronized Swimming,0
Maria Suelen Altheman,F,27,175,110,Brazil,Judo,0
Mariafe Artacho del Solar,F,22,175,66,Australia-2,Beach Volleyball,0
Marian Drgulescu,M,35,163,64,Romania,Gymnastics,0
Mariana Cherdivar-Eanu,F,23,160,62,Moldova,Wrestling,0
Mariana Cress,F,17,159,52,Marshall Islands,Athletics,0
Mariana Duque Mario,F,26,169,61,Colombia,Tennis,0
Mariana Rog Duarte,F,19,170,67,Brazil,Water Polo,0
Maricet Espinosa Gonzlez,F,26,163,63,Cuba,Judo,0
Marie-Cathrine Arnold,F,24,175,69,Germany,Rowing,0
Marie-Florence Candassamy,F,25,185,74,France,Fencing,0
Marie-Laure Delie,F,28,172,65,France,Football,0
Marie-Louise Drger,F,35,170,59,Germany,Rowing,0
Marie-ve Beauchemin-Nadeau,F,27,166,69,Canada,Weightlifting,0
Marielle Amant,F,26,190,84,France,Basketball,0
Marily dos Santos,F,38,158,46,Brazil,Athletics,0
Marin Draganja,M,25,185,80,Croatia,Tennis,0
Marin ili,M,27,198,82,Croatia,Tennis,0
Marina Alabau Neira,F,30,164,55,Spain,Sailing,0
Marina Aleksandrovna Arzamasova (Katovich-),F,28,173,58,Belarus,Athletics,0
Marina Anatolyevna Aframeyeva,F,25,171,62,Russia,Equestrianism,0
Marina Bravo Bragado,F,27,173,68,Spain,Rugby Sevens,0
Marina Canetta Gobbi,F,27,162,51,Brazil,Archery,0
Marina Canetti,F,33,169,63,Brazil,Water Polo,0
Marina Durunda,F,19,170,51,Azerbaijan,Rhythmic Gymnastics,0
Marina Frantsevna Domantsevich,F,32,162,51,Belarus,Athletics,0
Marine Clmence Boyer,F,16,162,52,France,Gymnastics,0
Marine Grace Brevet,F,21,162,52,France,Gymnastics,0
Mario Alfonso Bran Granillo,M,26,168,64,Guatemala,Athletics,0
Marisa Roseanne Dick,F,19,153,47,Trinidad and Tobago,Gymnastics,0
Marisol Carrat,F,30,174,85,Argentina,Handball,0
Marit Bouwmeester,F,28,177,68,Netherlands,Sailing,1
Marius Iulian Cocioran,M,33,173,64,Romania,Athletics,0
Marius Vasile Cozmiuc,M,23,197,94,Romania,Rowing,0
Mariya Dmitriyenko,F,28,167,56,Kazakhstan,Shooting,0
Mariya Olegovna Borisova,F,19,184,95,Russia,Water Polo,1
Mariya Sergeyevna Dolgikh (Zelenova-),F,29,176,62,Russia,Table Tennis,0
Mark David Aldred,M,29,188,71,Great Britain,Rowing,0
Mark English,M,23,187,76,Ireland,Athletics,0
Mark Simon Cavendish,M,31,175,70,Great Britain,Cycling,1
Mark Stewart Bennett,M,23,183,89,Great Britain,Rugby Sevens,1
Mark William Dry,M,28,184,113,Great Britain,Athletics,0
Mark de Jonge,M,32,180,91,Canada,Canoeing,0
Markel Alberdi Sarobe,M,24,187,76,Spain,Swimming,0
Marko Bagari,M,30,201,100,Qatar,Handball,0
Marko Bezjak,M,30,184,87,Slovenia,Handball,0
Marko Bija,M,25,201,85,Croatia,Water Polo,1
Marko Blaevski,M,23,183,73,Macedonia,Swimming,0
Marko Carrillo Zevallos,M,28,184,75,Peru,Shooting,0
Markus Bckermann,M,30,192,95,Germany,Beach Volleyball,0
Marlo Delgado Suarez,M,23,184,75,Ecuador,Boxing,0
Marlon August-Accio,M,34,180,81,Mozambique,Judo,0
Marlson Gomes dos Santos,M,38,174,58,Brazil,Athletics,0
Marouan Chouiref,M,26,195,109,Tunisia,Handball,0
Marta Bach Pascual,F,23,176,66,Spain,Water Polo,0
Marta Baenza Centurion,F,24,164,52,Brazil,Fencing,0
Martha Bayona Pineda,F,20,155,60,Colombia,Cycling,0
Martin Allikvee,M,21,182,77,Estonia,Swimming,0
Martin Bau,M,21,182,74,Slovenia,Swimming,0
Martina Carraro,F,23,175,60,Italy,Swimming,0
Martina Cavallero,F,26,163,58,Argentina,Hockey,0
Martina Centofanti,F,18,170,47,Italy,Rhythmic Gymnastics,0
Martina De Memme,F,24,175,65,Italy,Swimming,0
Martn Esteban Cuestas,M,29,182,62,Uruguay,Athletics,0
Martynas Diaugys,M,29,189,95,Lithuania,Rowing,0
Marua ernjul,F,24,177,56,Slovenia,Athletics,0
Marvin Bracy,M,22,175,78,United States,Athletics,0
Marwa Al-Amri,F,27,160,58,Tunisia,Wrestling,1
Marwan Ahmed Aly Morsy El-Amrawy,M,21,194,93,Egypt,Swimming,0
Marwan Mohamed Ismail Mohamed Aly El-Kamash,M,22,183,77,Egypt,Swimming,0
Mary Al-Atrash,F,22,170,57,Palestine,Swimming,0
Maryna Mykolavna Cherniak,F,28,162,48,Ukraine,Judo,0
Maryna Oleksandrivna Bekh,F,21,174,62,Ukraine,Athletics,0
Marzia Caravelli,F,34,177,62,Italy,Athletics,0
Masashi Ebinuma,M,26,170,66,Japan,Judo,1
Masbah Ahmmed,M,21,,,Bangladesh,Athletics,0
Mashu Baker,M,21,178,90,Japan,Judo,1
Massimo Colaci,M,31,180,75,Italy,Volleyball,1
Mat Bubenik,M,26,197,78,Slovakia,Athletics,0
Matas Albarracn,M,36,174,65,Argentina,Equestrianism,0
Matas Andrs del Solar Goldsmith,M,40,184,82,Chile,Sailing,0
Matas Bhler,M,33,176,77,Switzerland,Sailing,0
Matej Beu,M,28,196,83,Slovakia,Canoeing,1
Matelita Buadromo,F,20,171,56,Fiji,Swimming,0
Mateusz Bieniek,M,22,210,98,Poland,Volleyball,0
Mateusz Biskup,M,22,190,91,Poland,Rowing,0
Matheus Borges Ferreira,M,23,176,78,Brazil,Hockey,0
Mathew Belcher,M,33,173,62,Australia,Sailing,1
Mathias Boe,M,36,185,75,Denmark,Badminton,0
Mathieu Albert Daniel Bauderlique,M,27,185,81,France,Boxing,1
Mathieu Bilodeau,M,32,185,74,Canada,Athletics,0
Mathilde Andraud,F,27,173,70,France,Athletics,0
Mathilde Cini,F,21,166,62,France,Swimming,0
Mathilde de Kerangat,F,24,172,67,France,Sailing,0
Matilda Ekholm,F,34,172,67,Sweden,Table Tennis,0
Matteo Aicardi,M,30,192,102,Italy,Water Polo,1
Matteo Castaldo,M,30,188,86,Italy,Rowing,1
"Matthew ""Matt"" Abood",M,30,197,92,Australia,Swimming,1
"Matthew ""Matt"" Baranoski",M,23,183,96,United States,Cycling,0
"Matthew ""Matt"" Dawson",M,22,176,66,Australia,Hockey,0
"Matthew ""Matt"" Dellavedova",M,25,193,89,Australia,Basketball,0
Matthew Chau,M,21,185,77,Australia,Badminton,0
"Matthew D. ""Matt"" Emmons",M,35,175,84,United States,Shooting,0
Matthew Denny,M,20,195,118,Australia,Athletics,0
Matthew Duncan Abeysinghe,M,20,180,74,Sri Lanka,Swimming,0
"Matthew Gerald ""Matt"" Centrowitz, Jr.",M,26,176,65,United States,Athletics,1
"Matthew John ""Matt"" Anderson",M,29,202,100,United States,Volleyball,1
Matthias Bhler,M,29,189,78,Germany,Athletics,0
Matthieu Androdias,M,26,194,94,France,Rowing,0
Matthijs Bchli,M,23,188,90,Netherlands,Cycling,1
Mattia Camboni,M,20,180,70,Italy,Sailing,0
Maurcio Borges Almeida Silva,M,27,199,99,Brazil,Volleyball,1
Mauricio Jos Arteaga Snchez,M,27,177,68,Ecuador,Athletics,0
Mauro Crenna,M,24,175,78,Italy,Canoeing,0
Mavis Chirandu,F,21,157,53,Zimbabwe,Football,0
Max Christiansen,M,19,187,84,Germany,Football,1
Max Esposito,M,19,174,64,Australia,Modern Pentathlon,0
Maxim Bouchard,M,25,174,71,Canada,Diving,0
Maxime Brinck-Croteau,M,30,178,83,Canada,Fencing,0
Maxime Eugne Ren Beaumont,M,34,191,94,France,Canoeing,1
Mayada Al-Sayad,F,23,,,Palestine,Athletics,0
Mayobanex de leo,M,23,171,61,Dominican Republic,Athletics,0
Mayra Aguiar da Silva,F,25,177,78,Brazil,Judo,1
Mazoon Khalfan Saleh Al-Alawi,F,18,182,,Oman,Athletics,0
McQuin Baron,M,20,206,104,United States,Water Polo,0
Mdlina Bere,F,23,186,75,Romania,Rowing,1
Meaghan Benfeito,F,27,155,48,Canada,Diving,2
Mehboob Ali,M,26,,,Pakistan,Athletics,0
Melania Felicitas Costa Schmid,F,27,180,69,Spain,Swimming,0
Melanie Behringer,F,30,172,71,Germany,Football,1
Melissa Boekelman,F,27,176,87,Netherlands,Athletics,0
Melissa Breen,F,25,174,65,Australia,Athletics,0
Melissa Corrine Bishop,F,27,173,56,Canada,Athletics,0
Melita Isidora Abraham Schssler,F,19,170,62,Chile,Rowing,0
Meraf Bahta Ogbagaber,F,27,176,52,Sweden,Athletics,0
Mercy Cherono Koech,F,25,,51,Kenya,Athletics,0
Merdan Ataew,M,21,196,80,Turkmenistan,Swimming,0
Merel Blom,F,29,171,60,Netherlands,Equestrianism,0
Merewai Cumu,F,18,174,73,Fiji,Rugby Sevens,0
Mert Atl,M,23,191,70,Turkey,Athletics,0
Merven Clair,M,23,178,75,Mauritius,Boxing,0
"Meryem (Mariam-) Erdoan (Tanga-, Hana Dingo-)",F,26,172,55,Turkey,Athletics,0
Meryem (Mirriam Jepchirchir-) Akda (Mayo-),F,23,171,51,Turkey,Athletics,0
Messaoud El-Mahadi,M,26,168,59,Morocco,Wrestling,0
Methkal Marouf Abu Drais,M,32,168,67,Jordan,Athletics,0
Meziane Ben Tahar,M,22,168,62,Algeria,Football,0
Micah Makanamaikalani Christenson,M,23,198,86,United States,Volleyball,1
Micha Daszek,M,24,182,88,Poland,Handball,0
"Michael ""Mike"" Dawson",M,29,183,75,New Zealand,Canoeing,0
Michael Albasini,M,35,172,67,Switzerland,Cycling,0
Michael Brake,M,21,187,91,New Zealand,Rowing,0
Michael Bultheel,M,30,189,81,Belgium,Athletics,0
Michael Darling,M,28,170,65,Ireland,Hockey,0
Michael DiSanto,M,26,185,91,United States,Rowing,0
Michael John Conlan,M,24,170,56,Ireland,Boxing,0
Michaela Ek,F,36,174,68,Sweden,Handball,0
Michal Alexandre Bodegas,M,29,192,102,Italy,Water Polo,1
Michal Balner,M,33,191,80,Czech Republic,Athletics,0
Michal D'Almeida,M,28,176,80,France,Cycling,1
Michel de Souza Borges,M,25,182,81,Brazil,Boxing,0
Michele Benedetti,M,31,175,68,Italy,Diving,0
Michelle Denee Carter,F,30,176,136,United States,Athletics,1
Michelle Elizabeth Coleman,F,22,186,74,Sweden,Swimming,0
Michelle-Lee Raquel Ahye,F,24,160,64,Trinidad and Tobago,Athletics,0
Mick Clohisey,M,30,180,64,Ireland,Athletics,0
Migran Arutyunyan,M,27,166,67,Armenia,Wrestling,1
Miguel Alvario Garca,M,22,180,84,Spain,Archery,0
Miguel Delas de Andrs,M,32,170,72,Spain,Hockey,0
Miguel Durn Navia,M,20,193,80,Spain,Swimming,0
Miguel da Cunha Arraiolos,M,28,173,62,Portugal,Triathlon,0
Miguel ngel Almachi Condo,M,31,165,55,Ecuador,Athletics,0
Miguel ngel Borja Hernndez,M,23,182,74,Colombia,Football,0
Miguel ngelo Henriques Carvalho,M,21,185,72,Portugal,Athletics,0
Mihail Duda,M,26,184,85,Serbia,Athletics,0
Mihajlo eprkalo,M,17,172,74,Bosnia and Herzegovina,Swimming,0
Mikael Appelgren,M,26,191,103,Sweden,Handball,0
Mikhail Dzhavanshirovich Dovgalyuk,M,21,,,Russia,Swimming,0
"Mikhail Surenovich ""Misha"" Aloyan",M,27,164,52,Russia,Boxing,0
Mikhail Viktorovich Dolgolevets,M,26,185,81,Belarus,Boxing,0
Mikhailis Anastasakis,M,21,183,92,Greece,Athletics,0
Mikiko Ando,F,23,155,58,Japan,Weightlifting,0
Mikkel Desler Puggaard,M,21,187,71,Denmark,Football,0
Mikls Cirjenics,M,26,190,104,Hungary,Judo,0
Mikoaj Piotr Burda,M,34,192,98,Poland,Rowing,0
Milad Beigi Hareqani,M,25,197,80,Azerbaijan,Taekwondo,1
Milad Ebadipour Gharahassanlou,M,22,202,78,Iran,Volleyball,0
Milan Aleksi,M,30,193,96,Serbia,Water Polo,1
Milana Kamilkhanovna Dadasheva,F,21,165,48,Russia,Wrestling,0
Miles Cleveland Chamley-Watson,M,26,193,80,United States,Fencing,1
Milica Dabovi,F,34,173,63,Serbia,Basketball,1
Milivoj Duki,M,23,185,83,Montenegro,Sailing,0
Milly Clark,F,27,,,Australia,Athletics,0
Milo uk,M,25,191,91,Serbia,Water Polo,1
Mimi Belete Gebregeiorges,F,28,169,56,Bahrain,Athletics,0
Miranda Joy Ayim,F,28,190,72,Canada,Basketball,0
Mireia Belmonte Garca,F,25,170,59,Spain,Swimming,2
Mirela Krasimirova Demireva,F,26,180,58,Bulgaria,Athletics,1
Miriam Casillas Garca,F,24,164,52,Spain,Triathlon,0
Miro Bilan,M,27,213,121,Croatia,Basketball,0
Mirza Bai,M,25,188,87,Bosnia and Herzegovina,Tennis,0
Misaki Doi,F,25,159,55,Japan,Tennis,0
Mitch Dielemans,M,23,186,75,Netherlands,Archery,0
"Mitchell ""Mitch"" Emery",M,25,185,89,Australia,Water Polo,0
Mlina Clugreanu,F,19,176,66,Romania,Fencing,0
Mnica Patricia Domnguez Lara,F,28,162,58,Mexico,Weightlifting,0
Mnica Sarai Arango Estrada,F,24,165,60,Colombia,Synchronized Swimming,0
Mobolade Abimbola Ajomale,M,20,180,62,Canada,Athletics,1
Mohamad Khairul Anuar,M,24,171,75,Malaysia,Archery,0
Mohamed Abdeldjalil Bourguieg,M,19,164,50,Algeria,Gymnastics,0
Mohamed Abdelraham Sayed Amer,M,28,187,87,Egypt,Handball,0
Mohamed Al-Arjaoui,M,29,185,91,Morocco,Boxing,0
Mohamed Al-Naceur Arafat,M,27,190,81,Tunisia,Beach Volleyball,0
